,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756053242428878,0.569034789804625,,,,,,,,
1,Battle-related deaths (number of people),VC.BTL.DETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,44.0,,143.0,,,34.0,37.0,,19.0,40.0,112.0,,,,28.0,52.0,86.0,117.0,133.0,74.0,219.0,,,,,22.0,27.0,60.0,31.0,212.0,27.0,
2,Voice and Accountability: Percentile Rank,VA.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,,23.3830852508545,,21.3930339813232,,17.412935256958,11.4427862167358,12.9807691574097,10.5769233703613,8.17307662963867,7.692307472229,7.21153831481934,6.63507127761841,6.63507127761841,7.0422534942627,5.63380289077759,5.16431903839111,5.9113302230835,7.88177347183228,12.3152713775635,12.8078813552856,12.62135887146,12.0772943496704,8.21256065368652,9.17874431610107,8.69565200805664
3,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,8.03470388532629,6.298999729656664,10.309278350515463,2.5949367088607596,4.514363885088919,4.856115107913669,9.62671905697446,15.899581589958158,12.933025404157044,12.912912912912914,14.746543778801843,27.659574468085108,26.31578947368421,21.18380062305296,10.495626822157435,12.603305785123966,8.752735229759299,1.8129770992366412,22.195121951219512,25.89118198874296,58.41184387617766,44.10609037328094,30.36231884057971,42.988741044012286,49.447310243183495,,,,,,,,,,,,,,,,,,,,,,
4,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,,,,,,,,,,,,,,,,,74.34930215013202,77.99405244660718,77.93170103092784,95.37974683544304,91.51846785225717,91.90647482014388,88.40864440078585,66.31799163179916,63.048498845265584,52.252252252252255,59.44700460829493,40.42553191489361,33.97129186602871,33.02180685358256,74.9271137026239,42.35537190082645,72.86652078774617,86.06870229007633,63.170731707317074,52.7204502814259,25.706594885598918,47.249508840864436,29.27536231884058,4.912998976458553,2.947678703021367,,,,,,,,,,,,,,,,,,,,,,
5,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,,,,,11.154067615365634,12.118110236220472,9.44045253019416,7.41261655467,5.685708172871203,,,,,,,,,,,,,4.700536847226353,3.772484412089904,3.012772505982579,3.624566951086819,4.5929016646890375,6.007901978629113,5.6222327354621875,19.95144271173779,16.85650944117422,12.08961408961409,11.146776700069665,14.146869337628349,20.116150442477874,6.293094576515386,3.320806100217865,13.818051895851003,1.3666434540389971,7.547644457996645,12.94674274845459,0.005949840352367792,0.009335678036642153,0.010808735959280173,0.011709119039391275,0.013356851226609614,0.033293182671564565,0.05081429298965912,0.051760362446246294,0.05909100116646278,0.12256102930565747,0.05316978398042621,0.04487284760517308,0.06933554203360343,0.031626050614635144,0.028757213410942593,0.08208108851692436,0.03765927337478761,0.020233038682199122,0.022984733095375118,0.019655662296248613,0.04312819327352526,,
6,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,,,,,0.1480628444517562,0.5590551181102362,0.6650359272282526,0.7709537948637808,0.7916131792896877,,,,,,,,,,,,,0.10869631232556329,0.30201897641883113,1.99855140970414,1.1097324726487852,0.7211431144714497,0.950486906247844,3.0637526439825358,2.5632645438416284,1.5228193563183243,4.403004403004402,4.670167729489309,4.338634990940205,0.5796460176991151,1.954821446948647,1.5441176470588236,0.05984547362779688,1.955845229805014,0.6182344869644762,0.16357584403233477,0.21308123331892076,0.07694094937199111,0.08478333283935723,0.07515950049087995,0.030127092594064302,0.026317408391998368,0.06252716634934245,0.1831551562883323,0.2625632175405654,0.09589944057450489,0.1865791572285833,0.07625992653301993,0.25268107358244685,0.06571802675669984,0.03182296383492387,0.0364245985705533,0.2479536339852473,0.2280019051682175,0.07568234999182981,0.41181865432684983,0.8297917205694446,,
7,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,,,,,65.04894299580488,69.26771653543307,73.42913927534016,76.33484398603947,75.22999572100984,,,,,,,,,,,,,71.03999773314604,79.77110842587183,77.12939391505448,75.53989886274984,73.33488437745297,81.37603386042315,78.29735433336596,63.67541320384723,71.42726091277424,74.30354830354831,75.71780719146884,70.53503120595933,66.195796460177,77.72563548420295,73.88453159041394,75.10562279487296,79.2011229108635,78.0782131422473,73.35710889205896,71.79837720150098,68.60002667220382,67.20189889027432,69.19397275652983,66.75759262912104,65.53248719115551,57.2631891588462,54.11877491560866,53.022559650819844,48.74292509946113,48.774647599188405,44.71859164335446,35.64890119474327,26.159121250631088,22.563748159351,22.014088698203864,35.15794112150781,38.349199379391564,34.27274520214458,20.516786494126062,20.94746813784197,,
8,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,,,,3.6207580818076854,3.5404571626041133,4.409071343623983,3.657445882814838,3.222238456601715,3.8160609799588783,3.95448230974181,4.040454887588592,5.221307889144842,4.99596755002523,3.6310311328427094,1.258845537958206,1.193381506406936,1.0793612667715808,0.29010395021080226,,,,,,,,,,,,,,,,,,,,9.05770233527259,10.63671901942113,8.329211696576396,7.072709031575234,9.434265420013386,8.646435219612574,8.609418166212857,8.156457981536255,8.337012772445512,9.602905325153763,,,,15.595608311750315,12.114563592444805,,18.96789902220986,21.431165309606598,28.903755035622215,21.42640293254646,19.3305170801131,21.866169479394294,,,,
9,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,3.3710917573634362,2.7240826055652585,3.4182727396930837,3.2789012336468923,2.585305082229845,2.9509297283078966,2.819442249643166,2.571402446367053,2.5159198660225393,2.4779930675670965,2.446564627592403,0.5037861144363259,0.5506500266062108,0.43064681525447435,0.23766699173087513,,,,,,,,,,,,,,,,,,,,3.577898970099189,6.593172279675411,4.10611791079579,2.8845711518786383,3.7921850903614462,3.724295746115093,4.220369678584113,3.0553386170117416,3.512697340531893,4.253603929040112,,,,6.179624450677329,3.6716409655263487,,5.456728211692654,7.296126642047879,9.674524608605564,7.345016861683333,5.870512773604552,6.336076445712605,,,,
